benchmark,division,submitter,system_name,board,processor,runtime_framework,accelerator,platform_class,throughput_inf_sec,latency_ms,accuracy,energy,result_path,system_path,notes
AD,Closed,Qualcomm,Next_Generation_Snapdragon_Mobile_Platform_MTP,Next Generation Snapdragon Mobile Platform MTP,Qualcomm Oryon CPU,Qualcomm runtime stack,Qualcomm Sensing Hub,mobile_soc_dsp_npu,14624.973000,0.068376,0813.204716 ulp-mlperf: Top 1% = 78.0; 0813.204716 ulp-mlperf: AUC = 0.860,,closed/Qualcomm/results/Next_Generation_Snapdragon_Mobile_Platform_MTP/ad/performance/results.txt,closed/Qualcomm/systems/Next_Generation_Snapdragon_Mobile_Platform_MTP.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,Qualcomm,Next_Generation_Snapdragon_Mobile_Platform_MTP,Next Generation Snapdragon Mobile Platform MTP,Qualcomm Oryon CPU,Qualcomm runtime stack,Qualcomm Sensing Hub,mobile_soc_dsp_npu,10436.648000,0.095816,0809.203242 ulp-mlperf: Top 1% = 85.5; 0809.203242 ulp-mlperf: AUC = 0.966,,closed/Qualcomm/results/Next_Generation_Snapdragon_Mobile_Platform_MTP/ic/performance/results.txt,closed/Qualcomm/systems/Next_Generation_Snapdragon_Mobile_Platform_MTP.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,Qualcomm,Next_Generation_Snapdragon_Mobile_Platform_MTP,Next Generation Snapdragon Mobile Platform MTP,Qualcomm Oryon CPU,Qualcomm runtime stack,Qualcomm Sensing Hub,mobile_soc_dsp_npu,15396.099000,0.064952,0809.000548 ulp-mlperf: Top 1% = 91.3; 0809.000548 ulp-mlperf: AUC = 0.978,,closed/Qualcomm/results/Next_Generation_Snapdragon_Mobile_Platform_MTP/kws/performance/results.txt,closed/Qualcomm/systems/Next_Generation_Snapdragon_Mobile_Platform_MTP.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,Qualcomm,Next_Generation_Snapdragon_Mobile_Platform_MTP,Next Generation Snapdragon Mobile Platform MTP,Qualcomm Oryon CPU,Qualcomm runtime stack,Qualcomm Sensing Hub,mobile_soc_dsp_npu,8752.919000,0.114248,0812.164219 ulp-mlperf: Top 1% = 83.5; 0812.164219 ulp-mlperf: AUC = 0.935,,closed/Qualcomm/results/Next_Generation_Snapdragon_Mobile_Platform_MTP/vww/performance/results.txt,closed/Qualcomm/systems/Next_Generation_Snapdragon_Mobile_Platform_MTP.json,official MLPerf Tiny v1.3 result parsed from local checkout
AD,Closed,STMicroelectronics,NUCLEO_L4R5ZI-P,NUCLEO-L4R5ZI-P,32-bit Arm Cortex-M4 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,208.608000,4.793680,0725.211938 ulp-mlperf: Top 1% = 77.8; 0725.211938 ulp-mlperf: AUC = 0.862,160.4232 uJ/inf,closed/STMicroelectronics/results/NUCLEO_L4R5ZI-P/ad/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_L4R5ZI-P.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,STMicroelectronics,NUCLEO_L4R5ZI-P,NUCLEO-L4R5ZI-P,32-bit Arm Cortex-M4 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,6.036000,165.672631,0726.005452 ulp-mlperf: Top 1% = 87.0; 0726.005452 ulp-mlperf: AUC = 0.988,5495.9150 uJ/inf,closed/STMicroelectronics/results/NUCLEO_L4R5ZI-P/ic/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_L4R5ZI-P.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,STMicroelectronics,NUCLEO_L4R5ZI-P,NUCLEO-L4R5ZI-P,32-bit Arm Cortex-M4 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,23.032000,43.417853,0726.010109 ulp-mlperf: Top 1% = 90.2; 0726.010109 ulp-mlperf: AUC = 0.995,1430.6681 uJ/inf,closed/STMicroelectronics/results/NUCLEO_L4R5ZI-P/kws/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_L4R5ZI-P.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,STMicroelectronics,NUCLEO_L4R5ZI-P,NUCLEO-L4R5ZI-P,32-bit Arm Cortex-M4 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,11.181000,89.437439,0726.023345 ulp-mlperf: Top 1% = 85.2; 0726.023345 ulp-mlperf: AUC = 0.936,3029.7521 uJ/inf,closed/STMicroelectronics/results/NUCLEO_L4R5ZI-P/vww/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_L4R5ZI-P.json,official MLPerf Tiny v1.3 result parsed from local checkout
AD,Closed,STMicroelectronics,NUCLEO_U385RG_Q,NUCLEO-U385RG-Q,Arm Cortex-M33 32-bit RISC core,X-CUBE runtime v10.2,unknown,stm32_mcu,184.851000,5.409762,0725.174400 ulp-mlperf: Top 1% = 77.8; 0725.174400 ulp-mlperf: AUC = 0.862,31.8347 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U385RG_Q/ad/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U385RG_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,STMicroelectronics,NUCLEO_U385RG_Q,NUCLEO-U385RG-Q,Arm Cortex-M33 32-bit RISC core,X-CUBE runtime v10.2,unknown,stm32_mcu,5.481000,182.448458,0725.180656 ulp-mlperf: Top 1% = 87.0; 0725.180656 ulp-mlperf: AUC = 0.988,965.5817 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U385RG_Q/ic/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U385RG_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,STMicroelectronics,NUCLEO_U385RG_Q,NUCLEO-U385RG-Q,Arm Cortex-M33 32-bit RISC core,X-CUBE runtime v10.2,unknown,stm32_mcu,20.703000,48.302178,0725.185847 ulp-mlperf: Top 1% = 90.2; 0725.185847 ulp-mlperf: AUC = 0.995,245.3412 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U385RG_Q/kws/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U385RG_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,STMicroelectronics,NUCLEO_U385RG_Q,NUCLEO-U385RG-Q,Arm Cortex-M33 32-bit RISC core,X-CUBE runtime v10.2,unknown,stm32_mcu,10.128000,98.736177,0725.183613 ulp-mlperf: Top 1% = 85.2; 0725.183613 ulp-mlperf: AUC = 0.936,518.9761 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U385RG_Q/vww/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U385RG_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,STMicroelectronics,NUCLEO_U3C5ZIT6_Q,NUCLEO-U3C5ZIT6-Q,Arm Cortex-M33 32-bit RISC core,STEDGE runtime Internal version,DSP Co-processor,stm32_mcu,19.967000,50.082636,0725.151952 ulp-mlperf: Top 1% = 87.0; 0725.151952 ulp-mlperf: AUC = 0.988,,closed/STMicroelectronics/results/NUCLEO_U3C5ZIT6_Q/ic/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U3C5ZIT6_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,STMicroelectronics,NUCLEO_U3C5ZIT6_Q,NUCLEO-U3C5ZIT6-Q,Arm Cortex-M33 32-bit RISC core,STEDGE runtime Internal version,DSP Co-processor,stm32_mcu,60.492000,16.531112,0725.165243 ulp-mlperf: Top 1% = 90.2; 0725.165243 ulp-mlperf: AUC = 0.995,,closed/STMicroelectronics/results/NUCLEO_U3C5ZIT6_Q/kws/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U3C5ZIT6_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,STMicroelectronics,NUCLEO_U3C5ZIT6_Q,NUCLEO-U3C5ZIT6-Q,Arm Cortex-M33 32-bit RISC core,STEDGE runtime Internal version,DSP Co-processor,stm32_mcu,26.898000,37.177485,0725.164607 ulp-mlperf: Top 1% = 85.2; 0725.164607 ulp-mlperf: AUC = 0.936,,closed/STMicroelectronics/results/NUCLEO_U3C5ZIT6_Q/vww/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U3C5ZIT6_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
AD,Closed,STMicroelectronics,NUCLEO_U575ZI_Q,NUCLEO-U575ZI-Q,32-bit Arm Cortex-M33 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,311.579000,3.209459,0804.035556 ulp-mlperf: Top 1% = 77.8; 0804.035556 ulp-mlperf: AUC = 0.862,77.2364 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U575ZI_Q/ad/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U575ZI_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,STMicroelectronics,NUCLEO_U575ZI_Q,NUCLEO-U575ZI-Q,32-bit Arm Cortex-M33 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,9.133000,109.493047,0803.211208 ulp-mlperf: Top 1% = 87.0; 0803.211208 ulp-mlperf: AUC = 0.988,2565.2442 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U575ZI_Q/ic/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U575ZI_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,STMicroelectronics,NUCLEO_U575ZI_Q,NUCLEO-U575ZI-Q,32-bit Arm Cortex-M33 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,34.489000,28.994752,0803.212419 ulp-mlperf: Top 1% = 90.2; 0803.212419 ulp-mlperf: AUC = 0.995,664.4239 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U575ZI_Q/kws/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U575ZI_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,STMicroelectronics,NUCLEO_U575ZI_Q,NUCLEO-U575ZI-Q,32-bit Arm Cortex-M33 (DSP + FPU),X-CUBE runtime v10.2,unknown,stm32_mcu,16.873000,59.266283,0803.221238 ulp-mlperf: Top 1% = 85.2; 0803.221238 ulp-mlperf: AUC = 0.936,1372.1684 uJ/inf,closed/STMicroelectronics/results/NUCLEO_U575ZI_Q/vww/performance/results.txt,closed/STMicroelectronics/systems/NUCLEO_U575ZI_Q.json,official MLPerf Tiny v1.3 result parsed from local checkout
AD,Closed,kai_jiang,K1_BOARD_V1.0,K1_BOARD_V1.0,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,1356.639000,0.737116,0801.170737 ulp-mlperf: Top 1% = 79.1; 0801.170737 ulp-mlperf: AUC = 0.873,,closed/kai_jiang/results/K1_BOARD_V1.0/ad/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,kai_jiang,K1_BOARD_V1.0,K1_BOARD_V1.0,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,438.061000,2.282787,0801.193051 ulp-mlperf: Top 1% = 86.5; 0801.193051 ulp-mlperf: AUC = 0.988,,closed/kai_jiang/results/K1_BOARD_V1.0/ic/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,kai_jiang,K1_BOARD_V1.0,K1_BOARD_V1.0,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,717.296000,1.394125,0801.192235 ulp-mlperf: Top 1% = 90.7; 0801.192235 ulp-mlperf: AUC = 0.996,,closed/kai_jiang/results/K1_BOARD_V1.0/kws/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,kai_jiang,K1_BOARD_V1.0,K1_BOARD_V1.0,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,224.797000,4.448458,0801.183825 ulp-mlperf: Top 1% = 85.4; 0801.183825 ulp-mlperf: AUC = 0.936,,closed/kai_jiang/results/K1_BOARD_V1.0/vww/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0.json,official MLPerf Tiny v1.3 result parsed from local checkout
AD,Closed,kai_jiang,K1_BOARD_V1.0_HIGH_FREQ,K1_BOARD_V1.0_HIGH_FREQ,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,3162.525000,0.316203,0801.124509 ulp-mlperf: Top 1% = 79.1; 0801.124509 ulp-mlperf: AUC = 0.873,,closed/kai_jiang/results/K1_BOARD_V1.0_HIGH_FREQ/ad/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0_HIGH_FREQ.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,kai_jiang,K1_BOARD_V1.0_HIGH_FREQ,K1_BOARD_V1.0_HIGH_FREQ,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,1023.279000,0.977251,0802.114813 ulp-mlperf: Top 1% = 86.5; 0802.114813 ulp-mlperf: AUC = 0.988,,closed/kai_jiang/results/K1_BOARD_V1.0_HIGH_FREQ/ic/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0_HIGH_FREQ.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,kai_jiang,K1_BOARD_V1.0_HIGH_FREQ,K1_BOARD_V1.0_HIGH_FREQ,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,1734.669000,0.576479,0802.114208 ulp-mlperf: Top 1% = 90.7; 0802.114208 ulp-mlperf: AUC = 0.996,,closed/kai_jiang/results/K1_BOARD_V1.0_HIGH_FREQ/kws/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0_HIGH_FREQ.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,kai_jiang,K1_BOARD_V1.0_HIGH_FREQ,K1_BOARD_V1.0_HIGH_FREQ,RISC-V 64GCVB Core,self-developed,unknown,mcu_or_embedded,458.069000,2.183077,0801.101338 ulp-mlperf: Top 1% = 85.4; 0801.101338 ulp-mlperf: AUC = 0.936,,closed/kai_jiang/results/K1_BOARD_V1.0_HIGH_FREQ/vww/performance/results.txt,closed/kai_jiang/systems/K1_BOARD_V1.0_HIGH_FREQ.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,kai_jiang,VCU128,VCU128,RISC-V,self-developed,ANPU,fpga,4624.902000,0.216221,0802.183108 ulp-mlperf: Top 1% = 84.9; 0802.183108 ulp-mlperf: AUC = 0.957,,closed/kai_jiang/results/VCU128/vww/performance/results.txt,closed/kai_jiang/systems/VCU128.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,syntiant,syntiant_9120_0v9_30mhz,NDP9120,HiFi3 + M0,N/A,Syntiant Core 2,neural_dsp_asic,62.598000,15.974951,,101.833 uJ/inf,closed/syntiant/results/syntiant_9120_0v9_30mhz/ic/performance/results.txt,closed/syntiant/systems/syntiant_9120_0v9_30mhz.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,syntiant,syntiant_9120_0v9_30mhz,NDP9120,HiFi3 + M0,N/A,Syntiant Core 2,neural_dsp_asic,228.982000,4.367155,,31.537 uJ/inf,closed/syntiant/results/syntiant_9120_0v9_30mhz/kws/performance/results.txt,closed/syntiant/systems/syntiant_9120_0v9_30mhz.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,syntiant,syntiant_9120_0v9_30mhz,NDP9120,HiFi3 + M0,N/A,Syntiant Core 2,neural_dsp_asic,78.600000,12.722646,,71.711 uJ/inf,closed/syntiant/results/syntiant_9120_0v9_30mhz/vww/performance/results.txt,closed/syntiant/systems/syntiant_9120_0v9_30mhz.json,official MLPerf Tiny v1.3 result parsed from local checkout
IC,Closed,syntiant,syntiant_9120_1v1_98mhz,NDP9120,HiFi3 + M0,N/A,Syntiant Core 2,neural_dsp_asic,195.238000,5.121954,,139.367 uJ/inf,closed/syntiant/results/syntiant_9120_1v1_98mhz/ic/performance/results.txt,closed/syntiant/systems/syntiant_9120_1v1_98mhz.json,official MLPerf Tiny v1.3 result parsed from local checkout
KWS,Closed,syntiant,syntiant_9120_1v1_98mhz,NDP9120,HiFi3 + M0,N/A,Syntiant Core 2,neural_dsp_asic,675.024000,1.481429,,43.802 uJ/inf,closed/syntiant/results/syntiant_9120_1v1_98mhz/kws/performance/results.txt,closed/syntiant/systems/syntiant_9120_1v1_98mhz.json,official MLPerf Tiny v1.3 result parsed from local checkout
VWW,Closed,syntiant,syntiant_9120_1v1_98mhz,NDP9120,HiFi3 + M0,N/A,Syntiant Core 2,neural_dsp_asic,243.883000,4.100327,,97.164 uJ/inf,closed/syntiant/results/syntiant_9120_1v1_98mhz/vww/performance/results.txt,closed/syntiant/systems/syntiant_9120_1v1_98mhz.json,official MLPerf Tiny v1.3 result parsed from local checkout
